(('de', 1.0), 90, (1632, 1518), None, 'hsl(0, 100%, 30%)')
(('dólares', 1.0), 78, (739, 1224), None, 'hsl(0, 100%, 30%)')
(('porcentaje', 0.77079788216402489), 51, (800, 1239), None, 'hsl(0, 100%, 30%)')
(('estatal', 0.57266532897251843), 44, (838, 1302), 2, 'hsl(0, 100%, 30%)')
(('inflación', 0.40462087518100864), 38, (902, 1335), None, 'hsl(54, 100%, 30%)')
(('estructural', 0.2697798080467082), 31, (851, 1338), None, 'hsl(119, 100%, 30%)')
(('infraestructura', 0.25872893203801983), 25, (711, 1318), None, 'hsl(125, 100%, 30%)')
(('modernización', 0.23836902834076032), 22, (875, 1337), None, 'hsl(134, 100%, 30%)')
(('líder', 0.21420610176322141), 21, (933, 1445), None, 'hsl(146, 100%, 30%)')
(('medieval', 0.20087813669889243), 20, (940, 1343), None, 'hsl(153, 100%, 30%)')
(('economic', 0.16743620075630483), 18, (850, 1283), 2, 'hsl(169, 100%, 30%)')
(('mundiales', 0.16316203086662309), 18, (734, 1358), None, 'hsl(171, 100%, 30%)')
(('discriminación', 0.15969511885501531), 13, (698, 1408), None, 'hsl(172, 100%, 30%)')
(('inicialmente', 0.15394503749596075), 13, (870, 1270), 2, 'hsl(175, 100%, 30%)')
(('temática', 0.14860226232106119), 13, (838, 1371), None, 'hsl(178, 100%, 30%)')
(('obviamente', 0.14579436592759706), 10, (955, 1339), None, 'hsl(179, 100%, 30%)')
(('studies', 0.14525095788828613), 10, (840, 1251), 2, 'hsl(179, 100%, 30%)')
(('interacción', 0.14484744655294024), 10, (726, 1262), None, 'hsl(180, 100%, 30%)')
(('modernidad', 0.14035207791729412), 10, (934, 1295), 2, 'hsl(182, 100%, 30%)')
(('financiar', 0.13391440559009088), 10, (730, 1449), None, 'hsl(185, 100%, 30%)')
(('rentabilidad', 0.12714549802850489), 10, (745, 1213), 2, 'hsl(188, 100%, 30%)')
(('controles', 0.1269335080568719), 10, (840, 1258), 2, 'hsl(188, 100%, 30%)')
(('coordinador', 0.12106327055217249), 9, (949, 1433), None, 'hsl(191, 100%, 30%)')
(('surgimiento', 0.11900921794236968), 8, (743, 1449), None, 'hsl(192, 100%, 30%)')
(('impresionante', 0.11600294671400731), 7, (892, 1395), None, 'hsl(193, 100%, 30%)')
(('caracterización', 0.11527289629395308), 7, (800, 1332), None, 'hsl(194, 100%, 30%)')
(('implicaciones', 0.11122132661847627), 7, (704, 1360), None, 'hsl(196, 100%, 30%)')
(('motivación', 0.10906172768372836), 7, (975, 1305), None, 'hsl(197, 100%, 30%)')
(('costarricense', 0.10515162895077299), 7, (849, 1444), None, 'hsl(199, 100%, 30%)')
(('actualización', 0.10355492367187388), 7, (931, 1384), None, 'hsl(200, 100%, 30%)')
(('especializadas', 0.098176942526701741), 7, (848, 1379), None, 'hsl(202, 100%, 30%)')
(('significativamente', 0.09670352246074522), 6, (892, 1335), None, 'hsl(203, 100%, 30%)')
(('prioridades', 0.096662963710034647), 6, (741, 1335), 2, 'hsl(203, 100%, 30%)')
(('diversificación', 0.094493807476127595), 6, (748, 1356), None, 'hsl(204, 100%, 30%)')
(('tecnológicos', 0.093488653395252225), 6, (933, 1283), 2, 'hsl(204, 100%, 30%)')
(('agropecuarios', 0.093141176321511573), 6, (757, 1315), 2, 'hsl(205, 100%, 30%)')
(('adecuación', 0.093043443672157264), 6, (848, 1298), 2, 'hsl(205, 100%, 30%)')
(('seleccionados', 0.089057169095044103), 6, (769, 1220), 2, 'hsl(207, 100%, 30%)')
(('egresados', 0.088171354883790992), 6, (768, 1379), 2, 'hsl(207, 100%, 30%)')
(('onu', 0.087282724692380825), 6, (799, 1229), 2, 'hsl(207, 100%, 30%)')
(('contable', 0.086588073869440368), 6, (935, 1348), None, 'hsl(208, 100%, 30%)')
(('evangelización', 0.085622910619927078), 6, (885, 1296), 2, 'hsl(208, 100%, 30%)')
(('theory', 0.085167634781060902), 6, (839, 1345), None, 'hsl(208, 100%, 30%)')
(('fotos', 0.084684109145309383), 6, (859, 1303), 2, 'hsl(209, 100%, 30%)')
(('socialización', 0.084549542811619624), 6, (805, 1233), 2, 'hsl(209, 100%, 30%)')
(('subraya', 0.084125452253201213), 6, (780, 1266), 2, 'hsl(209, 100%, 30%)')
(('directrices', 0.083712787036953978), 6, (746, 1222), None, 'hsl(209, 100%, 30%)')
(('iberoamericana', 0.080784354519098198), 6, (730, 1330), None, 'hsl(210, 100%, 30%)')
(('medievales', 0.078883302656494458), 6, (801, 1278), None, 'hsl(211, 100%, 30%)')
(('interdependencia', 0.075546265435421173), 6, (962, 1344), None, 'hsl(213, 100%, 30%)')
(('crucial', 0.070584431390389293), 6, (893, 1484), 2, 'hsl(215, 100%, 30%)')
(('miami', 0.07051848605210366), 6, (748, 1204), 2, 'hsl(215, 100%, 30%)')
(('mestizaje', 0.070051479443012959), 6, (743, 1266), 2, 'hsl(216, 100%, 30%)')
(('policy', 0.069467637654875042), 6, (717, 1293), None, 'hsl(216, 100%, 30%)')
(('enfrentan', 0.069458677333049099), 6, (730, 1374), None, 'hsl(216, 100%, 30%)')
(('migrantes', 0.069369213277335237), 6, (767, 1405), 2, 'hsl(216, 100%, 30%)')
(('tecnológicas', 0.06927573827112074), 6, (781, 1439), None, 'hsl(216, 100%, 30%)')
(('chih', 0.068908370455997681), 6, (955, 1409), None, 'hsl(216, 100%, 30%)')
(('atardecer', 0.068448237768427581), 6, (943, 1302), 2, 'hsl(216, 100%, 30%)')
(('fundamentación', 0.064918732554003697), 6, (897, 1489), 2, 'hsl(218, 100%, 30%)')
(('telefónicas', 0.062650422716905851), 6, (848, 1336), None, 'hsl(219, 100%, 30%)')
(('growth', 0.060882042567074829), 6, (897, 1458), None, 'hsl(220, 100%, 30%)')
(('cocaína', 0.060817733822950915), 6, (901, 1402), None, 'hsl(220, 100%, 30%)')
(('operativa', 0.060699266027424564), 6, (839, 1267), None, 'hsl(220, 100%, 30%)')
(('ibídem', 0.060316232820682693), 6, (776, 1334), 2, 'hsl(220, 100%, 30%)')
(('restaurantes', 0.058831905814258928), 6, (887, 1261), 2, 'hsl(221, 100%, 30%)')
(('contables', 0.058540264003175989), 6, (771, 1411), 2, 'hsl(221, 100%, 30%)')
(('normalización', 0.058416939490230739), 5, (748, 1404), None, 'hsl(221, 100%, 30%)')
(('cinturón', 0.058234935617052529), 5, (737, 1237), None, 'hsl(221, 100%, 30%)')
(('desnutrición', 0.057235938234450195), 5, (849, 1265), 2, 'hsl(222, 100%, 30%)')
(('residual', 0.057113539510581186), 5, (820, 1389), 2, 'hsl(222, 100%, 30%)')
(('afiliación', 0.056500208786855077), 5, (815, 1450), 2, 'hsl(222, 100%, 30%)')
(('escolaridad', 0.056478381576029635), 5, (765, 1244), 2, 'hsl(222, 100%, 30%)')
(('tipología', 0.05437666658105305), 5, (846, 1269), 2, 'hsl(223, 100%, 30%)')
(('virreinal', 0.054253226380704615), 5, (789, 1271), 2, 'hsl(223, 100%, 30%)')
(('referéndum', 0.054162141683619679), 5, (890, 1303), 2, 'hsl(223, 100%, 30%)')
(('deportivos', 0.054017314703474956), 5, (841, 1464), None, 'hsl(223, 100%, 30%)')
(('frenar', 0.053838439642299361), 5, (850, 1242), 2, 'hsl(224, 100%, 30%)')
(('regularización', 0.05381182559506479), 5, (800, 1420), None, 'hsl(224, 100%, 30%)')
(('constatación', 0.053172915372156737), 5, (710, 1452), None, 'hsl(224, 100%, 30%)')
(('cfr', 0.052904333902808118), 5, (774, 1288), 2, 'hsl(224, 100%, 30%)')
(('fragmentación', 0.052138336701597378), 4, (709, 1406), None, 'hsl(224, 100%, 30%)')
(('used', 0.051896699410890514), 4, (898, 1359), 2, 'hsl(224, 100%, 30%)')
(('fenomenología', 0.051603188819942816), 4, (800, 1383), None, 'hsl(225, 100%, 30%)')
(('ensayista', 0.051525823135853174), 4, (755, 1455), 2, 'hsl(225, 100%, 30%)')
(('postula', 0.050066698257965829), 4, (810, 1221), 2, 'hsl(225, 100%, 30%)')
(('conceptuales', 0.049999724638743505), 4, (841, 1426), None, 'hsl(225, 100%, 30%)')
(('otrora', 0.04997089598789433), 4, (748, 1304), None, 'hsl(225, 100%, 30%)')
(('incrementó', 0.049747531325268102), 4, (878, 1280), 2, 'hsl(225, 100%, 30%)')
(('metodológico', 0.049612499386651278), 4, (937, 1393), None, 'hsl(226, 100%, 30%)')
(('genético', 0.04865819436917114), 4, (738, 1283), 2, 'hsl(226, 100%, 30%)')
(('profundización', 0.04831455642451956), 4, (802, 1243), None, 'hsl(226, 100%, 30%)')
(('feminista', 0.048090553767208673), 4, (712, 1492), 2, 'hsl(226, 100%, 30%)')
(('telefónico', 0.047936329098157454), 4, (735, 1340), 2, 'hsl(226, 100%, 30%)')
(('management', 0.047787293915275461), 4, (913, 1376), 2, 'hsl(226, 100%, 30%)')
(('exclusividad', 0.047744880774197841), 4, (769, 1399), 2, 'hsl(226, 100%, 30%)')
(('cuauhtémoc', 0.047692413092007536), 4, (968, 1347), None, 'hsl(226, 100%, 30%)')
(('milenio', 0.04716147530267327), 4, (735, 1349), 2, 'hsl(227, 100%, 30%)')
(('convivir', 0.046690734279988599), 4, (822, 1310), 2, 'hsl(227, 100%, 30%)')
(('sobrevivencia', 0.046671720370269613), 4, (956, 1289), 2, 'hsl(227, 100%, 30%)')
(('bombeo', 0.046644072301453524), 4, (935, 1429), None, 'hsl(227, 100%, 30%)')
(('emisora', 0.046536041738716595), 4, (844, 1279), None, 'hsl(227, 100%, 30%)')
(('curriculum', 0.046423663343660278), 4, (802, 1469), None, 'hsl(227, 100%, 30%)')
(('controladas', 0.046381256368057157), 4, (711, 1369), None, 'hsl(227, 100%, 30%)')
(('desplazado', 0.045629510602538767), 4, (740, 1272), 2, 'hsl(227, 100%, 30%)')
(('irreversible', 0.045530037494047965), 4, (807, 1373), 2, 'hsl(228, 100%, 30%)')
(('metodológica', 0.045151202701150125), 4, (765, 1295), 2, 'hsl(228, 100%, 30%)')
(('because', 0.045147484771178512), 4, (882, 1253), 2, 'hsl(228, 100%, 30%)')
(('potencialidades', 0.044589757444248326), 4, (956, 1426), None, 'hsl(228, 100%, 30%)')
(('amazonia', 0.044271806910993257), 4, (731, 1316), 2, 'hsl(228, 100%, 30%)')
(('nw', 0.044259130520206136), 4, (824, 1340), 2, 'hsl(228, 100%, 30%)')
(('selectiva', 0.044236955115345096), 4, (821, 1405), 2, 'hsl(228, 100%, 30%)')
(('soya', 0.044225901173800604), 4, (873, 1387), None, 'hsl(228, 100%, 30%)')
(('ubican', 0.044042891510105868), 4, (890, 1267), 2, 'hsl(228, 100%, 30%)')
(('economics', 0.043328847127887107), 4, (766, 1348), None, 'hsl(229, 100%, 30%)')
(('armonización', 0.043258297789327965), 4, (981, 1302), None, 'hsl(229, 100%, 30%)')
(('residuales', 0.043077079480995754), 4, (694, 1455), None, 'hsl(229, 100%, 30%)')
(('graciela', 0.042892432681760566), 4, (919, 1472), 2, 'hsl(229, 100%, 30%)')
(('eficientemente', 0.04277466791188677), 4, (899, 1280), 2, 'hsl(229, 100%, 30%)')
(('demográficas', 0.041899002541077313), 4, (815, 1316), 2, 'hsl(229, 100%, 30%)')
(('novedoso', 0.041125174796676878), 4, (903, 1457), None, 'hsl(230, 100%, 30%)')
(('prevalencia', 0.040964119853032735), 4, (769, 1206), 2, 'hsl(230, 100%, 30%)')
(('temporalidad', 0.040659825306177837), 4, (811, 1226), 2, 'hsl(230, 100%, 30%)')
(('however', 0.040507494257875268), 4, (848, 1427), None, 'hsl(230, 100%, 30%)')
(('food', 0.040340138440083696), 4, (782, 1286), None, 'hsl(230, 100%, 30%)')
(('euforia', 0.04013341345872732), 4, (815, 1281), 2, 'hsl(230, 100%, 30%)')
(('ecológicas', 0.039925771206837907), 4, (943, 1426), None, 'hsl(230, 100%, 30%)')
(('incision', 1.0), 89, (498, 1525), None, 'hsl(197, 100%, 30%)')
(('compresion', 0.92096139660051723), 62, (566, 1504), None, 'hsl(201, 100%, 30%)')
(('articulacion', 0.85304774563546748), 58, (626, 1511), None, 'hsl(205, 100%, 30%)')
(('estremidades', 0.8154372539405037), 40, (453, 1504), None, 'hsl(207, 100%, 30%)')
(('estraccion', 0.69824319262508616), 32, (672, 1673), None, 'hsl(213, 100%, 30%)')
(('prolongacion', 0.67831636517954907), 21, (486, 1732), None, 'hsl(214, 100%, 30%)')
(('absorcion', 0.65103600978359644), 21, (486, 1543), None, 'hsl(215, 100%, 30%)')
(('reclusion', 0.61643965103483378), 20, (434, 1552), None, 'hsl(217, 100%, 30%)')
(('evacuacion', 0.53394260125455406), 19, (502, 1849), 2, 'hsl(221, 100%, 30%)')
(('escesiva', 0.51723024686087082), 19, (491, 1504), 2, 'hsl(222, 100%, 30%)')
(('atraccion', 0.50799125773946585), 19, (616, 1756), None, 'hsl(223, 100%, 30%)')
(('escitar', 0.50428629388214163), 19, (695, 1748), None, 'hsl(223, 100%, 30%)')
(('supersticion', 0.48111896076811134), 16, (671, 1578), None, 'hsl(224, 100%, 30%)')
(('escesivo', 0.46986410097024456), 16, (614, 1506), None, 'hsl(225, 100%, 30%)')
(('rotacion', 0.45546048543652567), 16, (495, 1870), 2, 'hsl(226, 100%, 30%)')
(('postracion', 0.44493896786748705), 14, (709, 1746), None, 'hsl(226, 100%, 30%)')
(('inhabilitacion', 0.44279631972275652), 12, (612, 1679), None, 'hsl(226, 100%, 30%)')
(('hinchazon', 0.43997837569133208), 11, (423, 1520), None, 'hsl(226, 100%, 30%)')
(('escelentes', 0.43656757336559848), 11, (484, 1654), None, 'hsl(227, 100%, 30%)')
(('congestion', 0.43311041936397288), 11, (672, 1516), None, 'hsl(227, 100%, 30%)')
(('evaporacion', 0.42860683411201395), 10, (695, 1685), None, 'hsl(227, 100%, 30%)')
(('defendian', 0.42334944557238863), 10, (474, 1784), None, 'hsl(227, 100%, 30%)')
(('centralizacion', 0.42153587902508832), 10, (507, 1519), 2, 'hsl(227, 100%, 30%)')
(('depresion', 0.41946127566047736), 10, (623, 1685), None, 'hsl(227, 100%, 30%)')
(('numeracion', 0.41451314679330381), 10, (502, 1549), None, 'hsl(228, 100%, 30%)')
(('relijiosa', 0.38770593977629159), 10, (528, 1811), 2, 'hsl(229, 100%, 30%)')
(('coalicion', 0.38696281782742231), 10, (633, 1827), 2, 'hsl(229, 100%, 30%)')
(('ostension', 0.38055152892815036), 10, (722, 1768), None, 'hsl(230, 100%, 30%)')
(('imajinacion', 0.37611861871639901), 9, (438, 1643), None, 'hsl(230, 100%, 30%)')
(('abdómen', 0.37191454829034065), 9, (686, 1621), None, 'hsl(230, 100%, 30%)')
(('putrefaccion', 0.3668756804934889), 9, (612, 1578), None, 'hsl(230, 100%, 30%)')
(('conformacion', 0.36633666832188544), 9, (512, 1837), 2, 'hsl(230, 100%, 30%)')
(('esploracion', 0.36145812377699632), 9, (526, 1569), 2, 'hsl(231, 100%, 30%)')
(('percusion', 0.33558447030422212), 9, (495, 1665), None, 'hsl(232, 100%, 30%)')
(('escelencia', 0.33202183168676513), 9, (531, 1542), 2, 'hsl(232, 100%, 30%)')
(('destilacion', 0.32508216043166815), 9, (450, 1563), None, 'hsl(232, 100%, 30%)')
(('ecuacion', 0.32331747667348648), 9, (502, 1749), None, 'hsl(233, 100%, 30%)')
(('inyeccion', 0.31787546169922565), 9, (435, 1508), None, 'hsl(233, 100%, 30%)')
(('coloracion', 0.31232879949204062), 9, (612, 1644), 2, 'hsl(233, 100%, 30%)')
(('esceptuando', 0.31180932662658456), 8, (565, 1699), None, 'hsl(233, 100%, 30%)')
(('ausiliares', 0.3067426443933936), 8, (501, 1884), 2, 'hsl(233, 100%, 30%)')
(('espansion', 0.30531677845374133), 8, (612, 1839), 2, 'hsl(233, 100%, 30%)')
(('degeneracion', 0.30348007211182854), 7, (628, 1521), None, 'hsl(234, 100%, 30%)')
(('coronacion', 0.30116466800488534), 7, (518, 1664), 2, 'hsl(234, 100%, 30%)')
(('estraordinariamente', 0.29300984978462685), 7, (495, 1643), 2, 'hsl(234, 100%, 30%)')
(('ebullicion', 0.28361108663224111), 7, (568, 1639), None, 'hsl(235, 100%, 30%)')
(('almidon', 0.28005765483329526), 7, (450, 1677), None, 'hsl(235, 100%, 30%)')
(('configuracion', 0.2800266320307272), 7, (566, 1589), None, 'hsl(235, 100%, 30%)')
(('embrion', 0.27937840228623789), 7, (704, 1690), None, 'hsl(235, 100%, 30%)')
(('tendon', 0.27708896880442013), 7, (626, 1610), None, 'hsl(235, 100%, 30%)')
(('estensos', 0.26960059150936971), 7, (532, 1729), 2, 'hsl(235, 100%, 30%)')
(('egército', 0.2690905217935351), 7, (559, 1865), 2, 'hsl(235, 100%, 30%)')
(('fólio', 0.26762995873496875), 7, (568, 1777), None, 'hsl(235, 100%, 30%)')
(('espresaba', 0.26210771910053593), 7, (567, 1800), None, 'hsl(236, 100%, 30%)')
(('estendiéndose', 0.25928507002389856), 7, (683, 1548), None, 'hsl(236, 100%, 30%)')
(('prostitucion', 0.25665624714701452), 7, (502, 1786), 2, 'hsl(236, 100%, 30%)')
(('esperimentó', 0.25043415845457606), 7, (521, 1708), 2, 'hsl(236, 100%, 30%)')
(('predisposicion', 0.24647850683481712), 7, (518, 1597), 2, 'hsl(237, 100%, 30%)')
(('correjidor', 0.24313359515645264), 7, (502, 1610), None, 'hsl(237, 100%, 30%)')
(('contusion', 0.24232367882175743), 7, (642, 1504), 2, 'hsl(237, 100%, 30%)')
(('ásus', 0.23475263168061111), 7, (491, 1708), 2, 'hsl(237, 100%, 30%)')
(('infiltracion', 0.2330426516778038), 7, (526, 1576), 2, 'hsl(237, 100%, 30%)')
(('reformacion', 0.22437018028733857), 7, (444, 1510), None, 'hsl(238, 100%, 30%)')
(('desorganizacion', 0.22403590670014165), 6, (506, 1668), None, 'hsl(238, 100%, 30%)')
(('afectacion', 0.22235409014281132), 6, (525, 1624), 2, 'hsl(238, 100%, 30%)')
(('desmoralizacion', 0.22117287910540034), 6, (481, 1771), None, 'hsl(238, 100%, 30%)')
(('reprension', 0.22033897850020212), 6, (645, 1810), 2, 'hsl(238, 100%, 30%)')
(('desecacion', 0.21994627434719885), 6, (630, 1786), None, 'hsl(238, 100%, 30%)')
(('esposiciones', 0.21989585286916502), 6, (502, 1811), None, 'hsl(238, 100%, 30%)')
(('jéneros', 0.21822688276849017), 6, (463, 1761), 2, 'hsl(238, 100%, 30%)')
(('majistrados', 0.21303636260369344), 6, (464, 1768), None, 'hsl(238, 100%, 30%)')
(('aragonum', 0.21274061817923404), 6, (451, 1513), None, 'hsl(238, 100%, 30%)')
(('filisola', 0.21246238803915871), 6, (589, 1825), 2, 'hsl(238, 100%, 30%)')
(('desviacion', 0.21161318171320914), 6, (454, 1730), None, 'hsl(238, 100%, 30%)')
(('escavacion', 0.21123966238505695), 6, (484, 1508), None, 'hsl(238, 100%, 30%)')
(('escesivamente', 0.20983492282756896), 6, (730, 1773), None, 'hsl(238, 100%, 30%)')
(('accesion', 0.20818697185455717), 6, (630, 1703), None, 'hsl(239, 100%, 30%)')
(('espiracion', 0.20777916213528408), 6, (695, 1646), None, 'hsl(239, 100%, 30%)')
(('desproporcion', 0.19718190642723901), 6, (531, 1844), 2, 'hsl(239, 100%, 30%)')
(('evasion', 0.19625432987735755), 6, (588, 1831), 2, 'hsl(239, 100%, 30%)')
(('carruages', 0.19562209832886684), 6, (680, 1507), None, 'hsl(239, 100%, 30%)')
(('jeneracion', 0.19478326547662672), 6, (452, 1607), None, 'hsl(239, 100%, 30%)')
(('conjuncion', 0.19147671872984556), 6, (574, 1626), 2, 'hsl(239, 100%, 30%)')
(('admitia', 0.19000904477480882), 6, (643, 1664), 2, 'hsl(240, 100%, 30%)')
(('esplorar', 0.18867424935109375), 6, (605, 1663), 2, 'hsl(240, 100%, 30%)')
(('guillem', 0.18769031029075711), 6, (710, 1712), None, 'hsl(240, 100%, 30%)')
(('devastacion', 0.18475560004311575), 6, (612, 1771), None, 'hsl(240, 100%, 30%)')
(('digresion', 0.18461090265995694), 6, (608, 1847), 2, 'hsl(240, 100%, 30%)')
(('nivelacion', 0.18242886315684817), 6, (426, 1581), None, 'hsl(240, 100%, 30%)')
(('estirpacion', 0.18079946939204633), 6, (499, 1891), 2, 'hsl(240, 100%, 30%)')
(('estrae', 0.17728210404631284), 6, (585, 1549), 2, 'hsl(240, 100%, 30%)')
(('dumouriez', 0.17594015890637346), 6, (639, 1540), 2, 'hsl(240, 100%, 30%)')
(('cometian', 0.17578180477563285), 6, (702, 1718), None, 'hsl(240, 100%, 30%)')
(('viageros', 0.17137740083483316), 6, (587, 1606), 2, 'hsl(241, 100%, 30%)')
(('vegiga', 0.17088616022130171), 6, (559, 1873), 2, 'hsl(241, 100%, 30%)')
(('delacion', 0.17063111652281598), 6, (569, 1671), None, 'hsl(241, 100%, 30%)')
(('espedicionarios', 0.17061225723935666), 4, (431, 1551), None, 'hsl(241, 100%, 30%)')
(('condensacion', 0.16853203700218897), 4, (484, 1626), None, 'hsl(241, 100%, 30%)')
(('ajitacion', 0.16609275586284708), 4, (644, 1729), 2, 'hsl(241, 100%, 30%)')
(('ecsiste', 0.16284335810628606), 4, (447, 1645), None, 'hsl(241, 100%, 30%)')
(('eslabon', 0.16061513930148588), 4, (672, 1786), None, 'hsl(241, 100%, 30%)')
(('escomunion', 0.15795671494937438), 4, (509, 1728), 2, 'hsl(241, 100%, 30%)')
(('egecucion', 0.15786510078816993), 4, (738, 1793), None, 'hsl(241, 100%, 30%)')
(('purificacion', 0.15583445079154012), 4, (627, 1600), 2, 'hsl(241, 100%, 30%)')
(('viagero', 0.1551488857231095), 4, (428, 1612), None, 'hsl(241, 100%, 30%)')
(('mutacion', 0.15381915651835504), 4, (621, 1574), None, 'hsl(241, 100%, 30%)')
(('aluvion', 0.15290466417294507), 4, (534, 1751), None, 'hsl(241, 100%, 30%)')
(('execracion', 0.15253077828636774), 4, (685, 1517), None, 'hsl(241, 100%, 30%)')
(('mégico', 0.15208129036806173), 4, (561, 1778), None, 'hsl(242, 100%, 30%)')
(('convulsion', 0.15154043173801307), 4, (587, 1689), 2, 'hsl(242, 100%, 30%)')
(('ascendian', 0.15150023882300157), 4, (517, 1864), 2, 'hsl(242, 100%, 30%)')
(('esplicó', 0.15082320592771625), 4, (507, 1844), 2, 'hsl(242, 100%, 30%)')
(('indecision', 0.14955529212755364), 4, (672, 1753), None, 'hsl(242, 100%, 30%)')
(('escirro', 0.14918896526227565), 4, (672, 1680), None, 'hsl(242, 100%, 30%)')
(('vibracion', 0.14887811609430621), 4, (649, 1556), 2, 'hsl(242, 100%, 30%)')
(('elojio', 0.14871610783830747), 4, (564, 1536), 2, 'hsl(242, 100%, 30%)')
(('percibia', 0.14867578846375093), 4, (469, 1569), 2, 'hsl(242, 100%, 30%)')
(('disipacion', 0.14554642085742703), 4, (635, 1755), 2, 'hsl(242, 100%, 30%)')
(('bouillaud', 0.14505722730661685), 4, (483, 1581), None, 'hsl(242, 100%, 30%)')
(('interseccion', 0.1433537473689098), 4, (633, 1742), 2, 'hsl(242, 100%, 30%)')
(('cean', 0.14308588729611502), 4, (509, 1826), None, 'hsl(242, 100%, 30%)')
(('estendieron', 0.14240684616977223), 4, (542, 1526), 2, 'hsl(242, 100%, 30%)')
(('indiscrecion', 0.14214877155487723), 4, (646, 1679), 2, 'hsl(242, 100%, 30%)')
(('miriam', 0.14145919560791309), 4, (687, 1598), None, 'hsl(242, 100%, 30%)')
(('mojon', 0.14144917825982781), 4, (597, 1712), None, 'hsl(242, 100%, 30%)')
(('sangria', 0.13872840712057122), 4, (547, 1753), None, 'hsl(242, 100%, 30%)')
(('enérjica', 0.13690890897433328), 4, (446, 1716), 2, 'hsl(242, 100%, 30%)')
(('homeópatas', 0.1355589055401045), 4, (509, 1532), None, 'hsl(242, 100%, 30%)')
(('esactitud', 0.1344116529913465), 4, (549, 1549), 2, 'hsl(242, 100%, 30%)')
(('dependian', 0.133875553091519), 4, (481, 1837), None, 'hsl(242, 100%, 30%)')
(('áv', 0.13320809011696619), 4, (709, 1817), None, 'hsl(243, 100%, 30%)')
(('imájenes', 0.12947503385187784), 4, (448, 1669), 2, 'hsl(243, 100%, 30%)')
(('llocos', 0.12635384761636306), 4, (612, 1758), None, 'hsl(243, 100%, 30%)')
(('antiflogístico', 0.12295591159954732), 4, (647, 1565), 2, 'hsl(243, 100%, 30%)')
(('intermision', 0.11523686869869194), 4, (549, 1675), None, 'hsl(243, 100%, 30%)')
(('galon', 0.11478382164701567), 4, (585, 1752), None, 'hsl(243, 100%, 30%)')
(('viérnes', 0.11211021470240493), 4, (509, 1576), None, 'hsl(244, 100%, 30%)')
(('lardizabal', 0.11136051731712189), 4, (496, 1864), 2, 'hsl(244, 100%, 30%)')
(('equipage', 0.1111089514534251), 4, (541, 1882), 2, 'hsl(244, 100%, 30%)')
(('edecan', 0.11073956553683936), 4, (534, 1819), 2, 'hsl(244, 100%, 30%)')
(('ingestion', 0.11065460738225208), 4, (649, 1617), None, 'hsl(244, 100%, 30%)')
(('atabalipa', 0.10951775331478632), 4, (545, 1786), 2, 'hsl(244, 100%, 30%)')
(('stoll', 0.10832230561975728), 4, (593, 1646), None, 'hsl(244, 100%, 30%)')
(('gironella', 0.10822065087511354), 4, (605, 1854), 2, 'hsl(244, 100%, 30%)')
(('titanio', 0.10303877573727632), 4, (584, 1665), 2, 'hsl(244, 100%, 30%)')
(('obstruccion', 0.10203080432401948), 4, (432, 1636), None, 'hsl(244, 100%, 30%)')
(('cási', 0.10190429228856428), 4, (507, 1900), 2, 'hsl(244, 100%, 30%)')
(('cristinos', 0.10188569285100814), 4, (576, 1811), 2, 'hsl(244, 100%, 30%)')
(('humorales', 0.10148362634683557), 4, (625, 1570), None, 'hsl(244, 100%, 30%)')
(('citerior', 0.10074598353658801), 4, (534, 1582), 2, 'hsl(244, 100%, 30%)')
(('bácia', 0.098871063181956265), 4, (555, 1664), 2, 'hsl(244, 100%, 30%)')
(('exclaustrados', 0.094832585567505956), 4, (584, 1772), 2, 'hsl(245, 100%, 30%)')
(('rason', 0.091255961139167174), 4, (525, 1541), None, 'hsl(245, 100%, 30%)')
(('esteriormente', 0.088953700063510499), 4, (619, 1595), None, 'hsl(245, 100%, 30%)')
(('abtoridad', 0.088378043413470511), 4, (715, 1722), None, 'hsl(245, 100%, 30%)')
(('gigedo', 0.08776183532216493), 4, (596, 1757), 2, 'hsl(245, 100%, 30%)')
(('preternatural', 0.086543461228273583), 4, (576, 1569), 2, 'hsl(245, 100%, 30%)')
(('estraido', 0.084492591945568171), 4, (554, 1581), 2, 'hsl(245, 100%, 30%)')
(('homeopáticos', 0.084358082706920579), 4, (483, 1728), None, 'hsl(245, 100%, 30%)')
(('carondelet', 0.083650694413123658), 4, (489, 1518), None, 'hsl(245, 100%, 30%)')
(('mártes', 0.082559363476502154), 4, (589, 1516), 2, 'hsl(245, 100%, 30%)')
(('augereau', 0.08213462600609811), 4, (653, 1835), 2, 'hsl(245, 100%, 30%)')
(('almodovar', 0.080614059346014677), 4, (586, 1682), 2, 'hsl(245, 100%, 30%)')
(('palarea', 0.079903512328988568), 4, (509, 1603), 2, 'hsl(245, 100%, 30%)')
(('prescribia', 0.079779570437164146), 4, (591, 1588), 2, 'hsl(245, 100%, 30%)')
(('xauxa', 0.078900662344986272), 4, (527, 1549), 2, 'hsl(245, 100%, 30%)')
(('petion', 0.078396471971866361), 4, (524, 1684), None, 'hsl(245, 100%, 30%)')
(('duramadre', 0.077526134713465075), 4, (540, 1823), 2, 'hsl(245, 100%, 30%)')
(('escreuir', 0.077164413746046726), 4, (541, 1805), 2, 'hsl(245, 100%, 30%)')
