(('de', 1.0), 90, (1632, 1518), None, 'hsl(0, 100%, 30%)')
(('caso', 0.0094338588206693743), 16, (1493, 1263), None, 'hsl(0, 100%, 30%)')
(('fué', 0.0093138567810432411), 16, (1399, 1639), 2, 'hsl(0, 100%, 30%)')
(('hecho', 0.0092851369053882169), 16, (1408, 1563), None, 'hsl(0, 100%, 30%)')
(('había', 0.0092692020072276064), 16, (1603, 1434), None, 'hsl(0, 100%, 30%)')
(('ella', 0.0092382315473987387), 16, (1679, 1628), 2, 'hsl(0, 100%, 30%)')
(('tanto', 0.0091405983358028089), 16, (1402, 1497), 2, 'hsl(0, 100%, 30%)')
(('vez', 0.0090494280470893793), 16, (1476, 1415), None, 'hsl(0, 100%, 30%)')
(('hacer', 0.008881922898942728), 16, (1259, 1506), 2, 'hsl(0, 100%, 30%)')
(('gran', 0.0088426871398522098), 16, (1315, 1591), 2, 'hsl(0, 100%, 30%)')
(('vida', 0.0088412975566863651), 16, (1349, 1534), None, 'hsl(0, 100%, 30%)')
(('debe', 0.0088043657313717893), 16, (1528, 1740), 2, 'hsl(0, 100%, 30%)')
(('siempre', 0.0087994027150716803), 16, (1421, 1337), 2, 'hsl(0, 100%, 30%)')
(('toda', 0.0087685457018314844), 16, (1520, 1238), 2, 'hsl(0, 100%, 30%)')
(('sólo', 0.008759311521646761), 16, (1377, 1263), 2, 'hsl(0, 100%, 30%)')
(('estas', 0.0086263356607994852), 16, (1355, 1701), 2, 'hsl(0, 100%, 30%)')
(('tal', 0.0086055062167997541), 16, (1604, 1317), 2, 'hsl(0, 100%, 30%)')
(('ellos', 0.0085362656150872844), 16, (1335, 1604), None, 'hsl(0, 100%, 30%)')
(('dicho', 0.0084492367127683692), 16, (1746, 1459), None, 'hsl(0, 100%, 30%)')
(('menos', 0.0084020329450177518), 16, (1243, 1449), None, 'hsl(0, 100%, 30%)')
(('forma', 0.0082298600369654865), 16, (1301, 1468), None, 'hsl(0, 100%, 30%)')
(('sea', 0.0081709470000553199), 16, (1411, 1355), 2, 'hsl(0, 100%, 30%)')
(('tres', 0.0081447357637848151), 16, (1294, 1433), 2, 'hsl(0, 100%, 30%)')
(('san', 0.0080489325628418113), 16, (1387, 1718), 2, 'hsl(0, 100%, 30%)')
(('yo', 0.008008341793151753), 16, (1491, 1744), None, 'hsl(0, 100%, 30%)')
(('artículo', 0.0079967145960720964), 16, (1660, 1472), 2, 'hsl(0, 100%, 30%)')
(('después', 0.0079363008671618027), 16, (1628, 1312), 2, 'hsl(0, 100%, 30%)')
(('nacional', 0.0079353785373135963), 16, (1635, 1503), 2, 'hsl(0, 100%, 30%)')
(('misma', 0.0078838302846949149), 16, (1701, 1542), 2, 'hsl(0, 100%, 30%)')
(('ese', 0.0078701509988373646), 16, (1516, 1259), None, 'hsl(0, 100%, 30%)')
(('poder', 0.0078228278350976881), 16, (1411, 1441), 2, 'hsl(0, 100%, 30%)')
(('otras', 0.0078222480586867277), 16, (1393, 1310), 2, 'hsl(0, 100%, 30%)')
(('esa', 0.0077696932774267164), 16, (1366, 1399), 2, 'hsl(0, 100%, 30%)')
(('medio', 0.0074753633374373346), 16, (1408, 1247), 2, 'hsl(0, 100%, 30%)')
(('lugar', 0.0073054245463980089), 16, (1574, 1676), 2, 'hsl(0, 100%, 30%)')
(('antes', 0.0072285468730807594), 16, (1350, 1429), 2, 'hsl(0, 100%, 30%)')
(('presidente', 0.00715743128531469), 16, (1506, 1366), None, 'hsl(0, 100%, 30%)')
(('hace', 0.0071061710522037531), 16, (1308, 1669), 2, 'hsl(0, 100%, 30%)')
(('qué', 0.0070960386777366661), 16, (1729, 1568), None, 'hsl(0, 100%, 30%)')
(('número', 0.0070448262315331205), 16, (1454, 1664), 2, 'hsl(0, 100%, 30%)')
(('aunque', 0.0070439799439906388), 16, (1564, 1248), None, 'hsl(0, 100%, 30%)')
(('algunos', 0.0069505320782159048), 16, (1660, 1382), None, 'hsl(0, 100%, 30%)')
(('hombre', 0.0069028552354922388), 16, (1406, 1732), 2, 'hsl(0, 100%, 30%)')
(('ciudad', 0.0068681898134218501), 16, (1682, 1339), None, 'hsl(0, 100%, 30%)')
(('fin', 0.0068218715027477464), 16, (1528, 1559), 2, 'hsl(0, 100%, 30%)')
(('quien', 0.0067328185351450453), 16, (1618, 1592), None, 'hsl(0, 100%, 30%)')
(('juan', 0.0067212175083331887), 16, (1355, 1587), None, 'hsl(0, 100%, 30%)')
(('nuestro', 0.0066946387000024182), 16, (1365, 1522), None, 'hsl(0, 100%, 30%)')
(('nuestra', 0.0066635660540910711), 16, (1582, 1518), 2, 'hsl(0, 100%, 30%)')
(('primera', 0.0066242777803558915), 16, (1391, 1285), 2, 'hsl(0, 100%, 30%)')
(('orden', 0.0065951771517966254), 16, (1457, 1349), 2, 'hsl(0, 100%, 30%)')
(('país', 0.006537894365922837), 16, (1316, 1620), None, 'hsl(0, 100%, 30%)')
(('é', 0.006458309062809078), 16, (1333, 1360), None, 'hsl(0, 100%, 30%)')
(('pueblo', 0.0064147981321798012), 16, (1698, 1424), 2, 'hsl(0, 100%, 30%)')
(('solo', 0.0064105623193591111), 16, (1479, 1371), None, 'hsl(0, 100%, 30%)')
(('guerra', 0.0063800516748632368), 16, (1497, 1607), None, 'hsl(0, 100%, 30%)')
(('haber', 0.006379253550038406), 16, (1582, 1434), None, 'hsl(0, 100%, 30%)')
(('fue', 0.0063385242698879192), 16, (1421, 1388), None, 'hsl(0, 100%, 30%)')
(('trabajo', 0.006284159859923596), 16, (1577, 1251), None, 'hsl(0, 100%, 30%)')
(('españa', 0.0062706087018642529), 16, (1655, 1644), 2, 'hsl(0, 100%, 30%)')
(('bajo', 0.0062253947342899435), 16, (1286, 1580), None, 'hsl(0, 100%, 30%)')
(('real', 0.0061997186713606709), 16, (1315, 1378), 2, 'hsl(0, 100%, 30%)')
(('según', 0.0061000632149008785), 16, (1458, 1532), None, 'hsl(0, 100%, 30%)')
(('poco', 0.0060590423386516741), 16, (1592, 1703), None, 'hsl(0, 100%, 30%)')
(('he', 0.0059812570511874798), 16, (1550, 1412), None, 'hsl(0, 100%, 30%)')
(('obra', 0.0059799121274636191), 16, (1617, 1445), None, 'hsl(0, 100%, 30%)')
(('durante', 0.0059713906197324815), 16, (1525, 1252), None, 'hsl(0, 100%, 30%)')
(('modo', 0.0059678017025355471), 16, (1474, 1287), None, 'hsl(0, 100%, 30%)')
(('nombre', 0.0059621633533878992), 16, (1413, 1616), 2, 'hsl(0, 100%, 30%)')
(('hombres', 0.0059604903721977697), 15, (1238, 1501), None, 'hsl(0, 100%, 30%)')
(('decir', 0.0059491473771866171), 15, (1433, 1455), None, 'hsl(0, 100%, 30%)')
(('dice', 0.0059334367345615811), 15, (1335, 1683), None, 'hsl(0, 100%, 30%)')
(('aquel', 0.0059250280837073593), 15, (1254, 1470), None, 'hsl(0, 100%, 30%)')
(('cuanto', 0.0058997053825954526), 15, (1461, 1233), 2, 'hsl(0, 100%, 30%)')
(('historia', 0.0058646074911623764), 15, (1353, 1354), 2, 'hsl(0, 100%, 30%)')
(('día', 0.0058369401906690167), 15, (1487, 1311), 2, 'hsl(0, 100%, 30%)')
(('manera', 0.0058260677433687137), 15, (1651, 1451), 2, 'hsl(0, 100%, 30%)')
(('punto', 0.0057611249913087055), 15, (1299, 1322), 2, 'hsl(0, 100%, 30%)')
(('entonces', 0.0057495764669211651), 15, (1567, 1549), 2, 'hsl(0, 100%, 30%)')
(('josé', 0.0057404881219374135), 15, (1586, 1615), 2, 'hsl(0, 100%, 30%)')
(('mucho', 0.0056193438368429688), 15, (1606, 1689), None, 'hsl(0, 100%, 30%)')
