(('nombre', 0.0059621633533878992), 16, (1611, 1422), None, 'hsl(0, 100%, 30%)')
(('hombres', 0.0059604903721977697), 15, (1476, 1647), None, 'hsl(0, 100%, 30%)')
(('decir', 0.0059491473771866171), 15, (1441, 1308), 2, 'hsl(0, 100%, 30%)')
(('dice', 0.0059334367345615811), 15, (1729, 1570), None, 'hsl(0, 100%, 30%)')
(('aquel', 0.0059250280837073593), 15, (1244, 1428), 2, 'hsl(0, 100%, 30%)')
(('cuanto', 0.0058997053825954526), 15, (1337, 1616), None, 'hsl(0, 100%, 30%)')
(('historia', 0.0058646074911623764), 15, (1430, 1712), 2, 'hsl(0, 100%, 30%)')
(('día', 0.0058369401906690167), 15, (1728, 1430), 2, 'hsl(0, 100%, 30%)')
(('manera', 0.0058260677433687137), 15, (1578, 1366), 2, 'hsl(0, 100%, 30%)')
(('punto', 0.0057611249913087055), 15, (1655, 1661), 2, 'hsl(0, 100%, 30%)')
(('entonces', 0.0057495764669211651), 15, (1552, 1537), 2, 'hsl(0, 100%, 30%)')
(('josé', 0.0057404881219374135), 15, (1561, 1248), None, 'hsl(0, 100%, 30%)')
(('mucho', 0.0056193438368429688), 15, (1549, 1592), None, 'hsl(0, 100%, 30%)')
(('república', 0.0055282477679853481), 12, (1642, 1418), None, 'hsl(0, 100%, 30%)')
(('habia', 0.0055135764133352671), 12, (1698, 1374), 2, 'hsl(0, 100%, 30%)')
(('aun', 0.0053924167424767083), 12, (1352, 1637), None, 'hsl(0, 100%, 30%)')
(('cuenta', 0.005366534898791595), 12, (1456, 1236), None, 'hsl(0, 100%, 30%)')
(('ahora', 0.005366422543241157), 12, (1262, 1504), 2, 'hsl(0, 100%, 30%)')
(('rey', 0.0053455158489057715), 12, (1319, 1516), None, 'hsl(0, 100%, 30%)')
(('pueden', 0.0053353961546875276), 12, (1510, 1566), None, 'hsl(0, 100%, 30%)')
(('aquí', 0.0053300658390054044), 12, (1382, 1433), None, 'hsl(0, 100%, 30%)')
(('ante', 0.0053253319899233638), 12, (1326, 1665), None, 'hsl(0, 100%, 30%)')
(('dios', 0.0053157433568870212), 12, (1486, 1232), 2, 'hsl(0, 100%, 30%)')
(('mundo', 0.0053144227798740916), 12, (1611, 1699), None, 'hsl(0, 100%, 30%)')
(('tierra', 0.0052482650765258631), 12, (1453, 1552), 2, 'hsl(0, 100%, 30%)')
(('aquella', 0.005214426644598571), 12, (1506, 1697), None, 'hsl(0, 100%, 30%)')
(('alguna', 0.0051416706647655205), 12, (1660, 1320), 2, 'hsl(0, 100%, 30%)')
(('muchos', 0.0051398482348582134), 12, (1347, 1285), 2, 'hsl(0, 100%, 30%)')
(('dar', 0.0051308547158831503), 12, (1419, 1653), None, 'hsl(0, 100%, 30%)')
(('veces', 0.0051149019615250617), 12, (1277, 1591), None, 'hsl(0, 100%, 30%)')
(('política', 0.0050995428057279092), 12, (1696, 1604), None, 'hsl(0, 100%, 30%)')
(('fueron', 0.0050793010983990724), 12, (1260, 1540), 2, 'hsl(0, 100%, 30%)')
(('tienen', 0.0050582095271280011), 12, (1622, 1597), 2, 'hsl(0, 100%, 30%)')
(('luego', 0.0050342569920354642), 12, (1393, 1694), None, 'hsl(0, 100%, 30%)')
(('nada', 0.0050259737706215132), 12, (1458, 1354), 2, 'hsl(0, 100%, 30%)')
(('casa', 0.0050259605567575406), 12, (1463, 1728), None, 'hsl(0, 100%, 30%)')
(('están', 0.0050207175972985041), 12, (1400, 1596), None, 'hsl(0, 100%, 30%)')
(('primer', 0.0049928134994914096), 12, (1479, 1463), None, 'hsl(0, 100%, 30%)')
(('estados', 0.0049762510018483055), 12, (1387, 1512), 2, 'hsl(0, 100%, 30%)')
(('grandes', 0.0049701445125161451), 12, (1534, 1739), 2, 'hsl(0, 100%, 30%)')
(('nuevo', 0.0049665171759801612), 12, (1517, 1310), None, 'hsl(0, 100%, 30%)')
(('causa', 0.0049464647514889937), 12, (1529, 1692), 2, 'hsl(0, 100%, 30%)')
(('mil', 0.004912184841939571), 12, (1621, 1644), None, 'hsl(0, 100%, 30%)')
(('presente', 0.0048888816862189361), 11, (1307, 1599), None, 'hsl(0, 100%, 30%)')
(('será', 0.0048795238246126084), 11, (1636, 1558), 2, 'hsl(0, 100%, 30%)')
(('dentro', 0.0048405692358898921), 11, (1424, 1674), None, 'hsl(0, 100%, 30%)')
(('sí', 0.0048365235330983542), 11, (1639, 1572), None, 'hsl(0, 100%, 30%)')
(('demás', 0.0048244334247923952), 11, (1601, 1552), None, 'hsl(0, 100%, 30%)')
(('efecto', 0.0047620527168809506), 11, (1513, 1465), 2, 'hsl(0, 100%, 30%)')
(('nueva', 0.0047545087717691991), 11, (1474, 1509), None, 'hsl(0, 100%, 30%)')
(('embargo', 0.004752712041613265), 11, (1507, 1640), 2, 'hsl(0, 100%, 30%)')
(('sociedad', 0.0047323032358525495), 11, (1238, 1444), 2, 'hsl(0, 100%, 30%)')
(('hoy', 0.0047184984662288392), 11, (1507, 1512), 2, 'hsl(0, 100%, 30%)')
(('estaba', 0.0045964188270970867), 11, (1645, 1381), 2, 'hsl(0, 100%, 30%)')
(('leyes', 0.0045591041625997501), 11, (1661, 1674), None, 'hsl(0, 100%, 30%)')
(('provincia', 0.0045504072702810556), 10, (1545, 1314), None, 'hsl(0, 100%, 30%)')
