(('your', 0.010233609579903909), 19, (1350, 1617), None, 'hsl(0, 100%, 30%)')
(('own', 0.01018418440145364), 19, (1349, 1359), None, 'hsl(0, 100%, 30%)')
(('people', 0.010011870930978061), 19, (1601, 1679), 2, 'hsl(0, 100%, 30%)')
(('part', 0.010008870308473656), 19, (1674, 1346), 2, 'hsl(0, 100%, 30%)')
(('good', 0.010004353915009987), 19, (1523, 1599), 2, 'hsl(0, 100%, 30%)')
(('each', 0.0099348102338703316), 19, (1278, 1372), 2, 'hsl(0, 100%, 30%)')
(('day', 0.0098466080365475026), 19, (1282, 1447), 2, 'hsl(0, 100%, 30%)')
(('without', 0.0098042145504259239), 19, (1437, 1560), None, 'hsl(0, 100%, 30%)')
(('state', 0.0096402192029053872), 19, (1359, 1299), 2, 'hsl(0, 100%, 30%)')
(('little', 0.0096047973963995573), 19, (1530, 1508), None, 'hsl(0, 100%, 30%)')
(('general', 0.0095499759578926077), 19, (1555, 1526), 2, 'hsl(0, 100%, 30%)')
(('shall', 0.009477057146113221), 19, (1604, 1416), None, 'hsl(0, 100%, 30%)')
(('every', 0.0092928074159565142), 19, (1387, 1342), 2, 'hsl(0, 100%, 30%)')
(('how', 0.009226465248568301), 19, (1412, 1396), 2, 'hsl(0, 100%, 30%)')
(('long', 0.0089982705555559806), 19, (1238, 1436), None, 'hsl(0, 100%, 30%)')
(('way', 0.0089683285404456702), 19, (1585, 1356), 2, 'hsl(0, 100%, 30%)')
(('found', 0.0089042446257714646), 19, (1626, 1602), 2, 'hsl(0, 100%, 30%)')
(('three', 0.0088221096206022101), 19, (1640, 1529), None, 'hsl(0, 100%, 30%)')
(('make', 0.0086644942719593162), 19, (1672, 1469), None, 'hsl(0, 100%, 30%)')
(('while', 0.0086064437151792874), 19, (1304, 1540), 2, 'hsl(0, 100%, 30%)')
(('however', 0.0085302411926546969), 19, (1454, 1234), 2, 'hsl(0, 100%, 30%)')
(('both', 0.0083785455801974815), 19, (1454, 1457), 2, 'hsl(0, 100%, 30%)')
(('place', 0.0082605237574532517), 19, (1362, 1628), 2, 'hsl(0, 100%, 30%)')
(('against', 0.0082356440354213346), 17, (1458, 1704), None, 'hsl(0, 100%, 30%)')
(('because', 0.0081805454096654621), 17, (1471, 1692), 2, 'hsl(0, 100%, 30%)')
(('s', 0.0081042522558605612), 17, (1707, 1555), None, 'hsl(0, 100%, 30%)')
(('might', 0.0080114624309651494), 17, (1569, 1629), 2, 'hsl(0, 100%, 30%)')
(('old', 0.0079727992385814263), 17, (1300, 1586), None, 'hsl(0, 100%, 30%)')
(('here', 0.0079708293954198466), 17, (1559, 1689), 2, 'hsl(0, 100%, 30%)')
(('god', 0.0078725287647772972), 17, (1617, 1505), 2, 'hsl(0, 100%, 30%)')
(('world', 0.0078680248963110943), 17, (1605, 1694), None, 'hsl(0, 100%, 30%)')
(('another', 0.0078133987596275059), 17, (1402, 1352), 2, 'hsl(0, 100%, 30%)')
(('de', 0.0077427524727956406), 17, (1550, 1457), 2, 'hsl(0, 100%, 30%)')
(('still', 0.007628167450247361), 17, (1517, 1397), None, 'hsl(0, 100%, 30%)')
(('himself', 0.007543802487519363), 17, (1318, 1470), 2, 'hsl(0, 100%, 30%)')
(('case', 0.0074836951169454545), 17, (1335, 1555), 2, 'hsl(0, 100%, 30%)')
(('down', 0.0073962475740191489), 17, (1319, 1399), None, 'hsl(0, 100%, 30%)')
(('never', 0.0073711834693822803), 17, (1652, 1358), 2, 'hsl(0, 100%, 30%)')
(('used', 0.0073038933580140677), 17, (1359, 1359), 2, 'hsl(0, 100%, 30%)')
(('power', 0.0073001752526728973), 15, (1355, 1682), None, 'hsl(0, 100%, 30%)')
(('during', 0.0072437229530911322), 15, (1743, 1445), None, 'hsl(0, 100%, 30%)')
(('thus', 0.0072166489152847273), 15, (1502, 1604), None, 'hsl(0, 100%, 30%)')
(('use', 0.0071870328316966971), 15, (1620, 1706), 2, 'hsl(0, 100%, 30%)')
(('too', 0.0070617954016920842), 15, (1482, 1347), None, 'hsl(0, 100%, 30%)')
(('given', 0.0070481647113637882), 15, (1251, 1561), None, 'hsl(0, 100%, 30%)')
(('government', 0.0070207239016069423), 11, (1377, 1469), None, 'hsl(0, 100%, 30%)')
(('water', 0.0069611307457408296), 11, (1713, 1355), None, 'hsl(0, 100%, 30%)')
(('right', 0.0067932703503283702), 11, (1339, 1305), None, 'hsl(0, 100%, 30%)')
(('though', 0.006692018527706089), 11, (1420, 1471), None, 'hsl(0, 100%, 30%)')
(('year', 0.0066828822481486199), 11, (1286, 1639), None, 'hsl(0, 100%, 30%)')
(('present', 0.0066730284733988393), 11, (1525, 1432), None, 'hsl(0, 100%, 30%)')
(('yet', 0.0066628877765603093), 11, (1547, 1363), 2, 'hsl(0, 100%, 30%)')
(('number', 0.0066508151853532059), 11, (1452, 1511), 2, 'hsl(0, 100%, 30%)')
(('house', 0.0066210642961487438), 11, (1270, 1468), 2, 'hsl(0, 100%, 30%)')
(('take', 0.0065738338508961481), 11, (1702, 1400), 2, 'hsl(0, 100%, 30%)')
(('country', 0.0065729354838102542), 11, (1459, 1472), 2, 'hsl(0, 100%, 30%)')
(('large', 0.0065491492810291797), 11, (1327, 1620), None, 'hsl(0, 100%, 30%)')
(('last', 0.0065377930269574034), 11, (1581, 1257), 2, 'hsl(0, 100%, 30%)')
(('does', 0.0064894755094668348), 11, (1687, 1650), 2, 'hsl(0, 100%, 30%)')
(('law', 0.0064655679246674426), 11, (1713, 1530), 2, 'hsl(0, 100%, 30%)')
(('form', 0.0064596782482033684), 11, (1658, 1535), 2, 'hsl(0, 100%, 30%)')
(('states', 0.0064418693521153918), 11, (1545, 1268), None, 'hsl(0, 100%, 30%)')
(('order', 0.0064385756192477835), 11, (1375, 1267), 2, 'hsl(0, 100%, 30%)')
(('called', 0.0064069960722138502), 11, (1453, 1602), None, 'hsl(0, 100%, 30%)')
(('know', 0.0064023897097311971), 11, (1349, 1322), None, 'hsl(0, 100%, 30%)')
(('come', 0.0063285977562327128), 11, (1366, 1690), None, 'hsl(0, 100%, 30%)')
(('whole', 0.0063040003478866498), 11, (1699, 1569), None, 'hsl(0, 100%, 30%)')
(('among', 0.0062898127537249719), 11, (1525, 1723), None, 'hsl(0, 100%, 30%)')
(('small', 0.0062895592609660432), 11, (1323, 1507), 2, 'hsl(0, 100%, 30%)')
(('less', 0.0062834859684023367), 11, (1411, 1740), 2, 'hsl(0, 100%, 30%)')
(('few', 0.0062689820055212868), 11, (1521, 1365), 2, 'hsl(0, 100%, 30%)')
(('far', 0.0062681118870035711), 11, (1598, 1659), 2, 'hsl(0, 100%, 30%)')
(('again', 0.0062389723941198693), 11, (1272, 1510), 2, 'hsl(0, 100%, 30%)')
(('war', 0.006218395879628919), 11, (1691, 1529), 2, 'hsl(0, 100%, 30%)')
(('just', 0.006187062900063621), 11, (1507, 1656), None, 'hsl(0, 100%, 30%)')
(('say', 0.0061172645807968089), 11, (1478, 1309), None, 'hsl(0, 100%, 30%)')
(('since', 0.0059774135089400941), 11, (1404, 1710), 2, 'hsl(0, 100%, 30%)')
(('high', 0.0059152414509523448), 11, (1591, 1374), 2, 'hsl(0, 100%, 30%)')
(('having', 0.0058656937396939102), 11, (1421, 1596), None, 'hsl(0, 100%, 30%)')
(('came', 0.0057726166127060261), 11, (1419, 1244), None, 'hsl(0, 100%, 30%)')
(('point', 0.0057487330547925427), 11, (1651, 1447), 2, 'hsl(0, 100%, 30%)')
(('per', 0.0057406640996295628), 11, (1355, 1423), None, 'hsl(0, 100%, 30%)')
(('public', 0.0057405334507632522), 11, (1617, 1277), 2, 'hsl(0, 100%, 30%)')
(('give', 0.0057152315077603818), 11, (1366, 1281), 2, 'hsl(0, 100%, 30%)')
(('church', 0.0057027359860309396), 11, (1409, 1656), 2, 'hsl(0, 100%, 30%)')
(('back', 0.0057001977163056239), 11, (1538, 1682), None, 'hsl(0, 100%, 30%)')
(('left', 0.0056115164328061915), 11, (1602, 1610), None, 'hsl(0, 100%, 30%)')
(('hand', 0.0055966424635205759), 11, (1293, 1610), None, 'hsl(0, 100%, 30%)')
(('system', 0.0055326991935516576), 11, (1473, 1479), 2, 'hsl(0, 100%, 30%)')
(('fact', 0.0055077507334203657), 11, (1557, 1262), None, 'hsl(0, 100%, 30%)')
(('end', 0.0054974393721707194), 11, (1695, 1500), 2, 'hsl(0, 100%, 30%)')
(('different', 0.0054453123811499041), 11, (1405, 1296), 2, 'hsl(0, 100%, 30%)')
(('always', 0.005404706978571025), 11, (1656, 1367), 2, 'hsl(0, 100%, 30%)')
(('within', 0.0053545610528018981), 11, (1428, 1454), None, 'hsl(0, 100%, 30%)')
(('king', 0.0053505551163592355), 11, (1473, 1557), None, 'hsl(0, 100%, 30%)')
(('second', 0.0053493513515856482), 11, (1744, 1543), None, 'hsl(0, 100%, 30%)')
(('thought', 0.005347622831787328), 11, (1457, 1291), 2, 'hsl(0, 100%, 30%)')
(('go', 0.0053315600531060759), 11, (1572, 1321), 2, 'hsl(0, 100%, 30%)')
(('therefore', 0.0053203729743624591), 11, (1479, 1385), None, 'hsl(0, 100%, 30%)')
(('nature', 0.005283769656129614), 11, (1418, 1528), 2, 'hsl(0, 100%, 30%)')
(('certain', 0.005268493609610324), 11, (1517, 1326), None, 'hsl(0, 100%, 30%)')
(('taken', 0.0052269887942247338), 11, (1564, 1501), 2, 'hsl(0, 100%, 30%)')
(('course', 0.005212271901689775), 11, (1636, 1291), None, 'hsl(0, 100%, 30%)')
(('often', 0.0051949348388900477), 11, (1619, 1431), None, 'hsl(0, 100%, 30%)')
(('others', 0.0051139981823033961), 11, (1237, 1525), None, 'hsl(0, 100%, 30%)')
(('once', 0.0051084720453600033), 11, (1708, 1418), None, 'hsl(0, 100%, 30%)')
(('means', 0.0050696359562693956), 11, (1234, 1509), 2, 'hsl(0, 100%, 30%)')
(('above', 0.0050650829642285098), 11, (1470, 1520), 2, 'hsl(0, 100%, 30%)')
(('off', 0.0049995146579945113), 11, (1297, 1432), 2, 'hsl(0, 100%, 30%)')
(('side', 0.0049894616736095854), 11, (1302, 1611), 2, 'hsl(0, 100%, 30%)')
