,res,start,end
fruchtabtreibung,127,1850,1976
ftlr,95,1850,1944
fuld,159,1850,2008
fulton,159,1850,2008
fuori,159,1850,2008
futura,159,1850,2008
fußspuren,159,1850,2008
gagarin,66,1850,1915
gallensäuren,123,1850,1972
gardner,159,1850,2008
garz,67,1850,1916
gaserzeugung,159,1850,2008
gastroenteritis,96,1850,1945
gedenktag,159,1850,2008
gegabelt,159,1850,2008
geldinstituten,159,1850,2008
gelegentlichem,159,1850,2008
gemahnen,159,1850,2008
gemeingefährlicher,159,1850,2008
gemisches,159,1850,2008
gemme,159,1850,2008
generalbevollmächtigten,159,1850,2008
genossenschaftliche,159,1850,2008
genossenschaftlichen,159,1850,2008
genossinnen,159,1850,2008
genuine,159,1850,2008
geodäsie,159,1850,2008
gerhardt,159,1850,2008
gerinne,159,1850,2008
geruchsempfindungen,127,1850,1976
gesagtem,159,1850,2008
geschlechtsreifen,159,1850,2008
geschuldet,159,1850,2008
geschweifte,159,1850,2008
geschweiften,159,1850,2008
gesellschaftskreise,159,1850,2008
gespiegelt,159,1850,2008
gestaut,159,1850,2008
gestülpt,159,1850,2008
getastet,159,1850,2008
gewerbsmässigen,159,1850,2008
gewohnheitsrechtliche,159,1850,2008
gf,159,1850,2008
giacomo,159,1850,2008
giraffen,159,1850,2008
gladstone,159,1850,2008
glaswand,159,1850,2008
glossarium,94,1850,1943
glucks,159,1850,2008
goldschmiedekunst,159,1850,2008
goldsmith,159,1850,2008
gore,95,1850,1944
gottschall,159,1850,2008
gradmessung,90,1850,1939
grado,159,1850,2008
gral,159,1850,2008
gratiae,159,1850,2008
gratias,159,1850,2008
greco,159,1850,2008
gregorio,159,1850,2008
grosseltern,159,1850,2008
grossmächte,159,1850,2008
groszen,98,1850,1947
grundauffassung,159,1850,2008
grundstimmung,159,1850,2008
guardian,159,1850,2008
gutsbezirk,159,1850,2008
gutsbezirke,159,1850,2008
günthers,159,1850,2008
güterverkehr,159,1850,2008
güterverkehrs,159,1850,2008
haberet,159,1850,2008
habetur,159,1850,2008
halbfertigen,159,1850,2008
halbfiguren,159,1850,2008
halswirbelsäule,96,1850,1945
handausgabe,159,1850,2008
handbewegungen,159,1850,2008
handelsvertrags,159,1850,2008
hansard,95,1850,1944
harrington,159,1850,2008
harvard,159,1850,2008
hauptachse,159,1850,2008
hauptaufmerksamkeit,159,1850,2008
hauptbau,159,1850,2008
hauptfaktor,159,1850,2008
hauptgebiet,159,1850,2008
hauptgebieten,159,1850,2008
hauptgestalt,159,1850,2008
hauptvertreter,159,1850,2008
hauptwerkes,159,1850,2008
hauptwörter,159,1850,2008
hausner,91,1850,1940
haydn,159,1850,2008
hd,159,1850,2008
hegelianismus,159,1850,2008
heiligenkreuz,159,1850,2008
hektors,159,1850,2008
heldensagen,159,1850,2008
heldinnen,159,1850,2008
heranbringen,159,1850,2008
herangezogenen,159,1850,2008
herausgebildeten,159,1850,2008
herausgeschleudert,159,1850,2008
herausholen,159,1850,2008
herausragt,159,1850,2008
hereditär,159,1850,2008
hereditären,159,1850,2008
hermione,159,1850,2008
heroine,159,1850,2008
herstellungskosten,159,1850,2008
herumgereicht,159,1850,2008
hervorgekehrt,159,1850,2008
heteronomie,159,1850,2008
hexenmeister,159,1850,2008
hineinzuversetzen,159,1850,2008
